job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01_8x6b_s3253_12bfd616e51c	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01	8x6b	3253	12bfd616e51c7bf0760ca9a919ad829c925024d41584c4532e2b3e54ba68096b
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01_9e6y_s3253_9d60e1af09d6	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01	9e6y	3253	9d60e1af09d694e55f0d79403e368ade30e9f6e4383bb076ae038ff5c8ee7f29
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01_8x6b_s1931_7760cea8b45b	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01	8x6b	1931	7760cea8b45b0357da392985e0260e2201a2a4edd579cc3800b33bbe22d92d63
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01_9e6y_s1931_3900afc8f070	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01	9e6y	1931	3900afc8f0704e8023cbc03c113bfa1fec23ffe70ca68b14cd79ae900ce38b57
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01_8x6b_s917_72e69b4ee5ea	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01	8x6b	917	72e69b4ee5ea437b442c6ad2035474da6df160fa04902d407f2faf72631475e1
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01_9e6y_s917_0f785187720a	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B08__M01	9e6y	917	0f785187720ad994d36005e66ef7500f7317a0ddc46d943ef936cebcd4e3069f
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M00_8x6b_s917_3986e2aec4be	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M00	8x6b	917	3986e2aec4be4e10c2bd1f3c2b28c0630143e8290d6cc604754cdb75d1f4a801
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M00_9e6y_s917_4df143aef0fe	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M00	9e6y	917	4df143aef0fe46b8d6c8502ad3cebd8837d5725dc036c562829745856cc83902
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B10__M00_8x6b_s917_74d2f00c6f6f	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B10__M00	8x6b	917	74d2f00c6f6f614bf97136061e2b224f1919f2276a1846059a99fb3c47b258bb
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B10__M00_9e6y_s917_9f154c5ff798	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B10__M00	9e6y	917	9f154c5ff798ab24010ea5c5a7768a0eb2d9ba761dd82d9cdbec38bf99238546
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M02_8x6b_s917_23f9f739dba0	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M02	8x6b	917	23f9f739dba0b28c1de21809b7fd3e6cacc5db1e99225154a789dd72ed9395f3
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M02_9e6y_s917_20287184d83e	V29_RF__RFV1__PLDNANO_VHH_00921__C_CROSS__H1H3__B11__M02	9e6y	917	20287184d83e87e2a33734f64df40a60ceb1747032d2479ac8e885fa34fcfd30
CANDIDATE_V29_GEN__C0533__B2FBAB6BEAEE088F_8x6b_s1931_d25c77907efa	V29_GEN__C0533__B2FBAB6BEAEE088F	8x6b	1931	d25c77907efa7ed34701f2469be2a7e3b0084be5622c4759f437c4f1c26bf169
CANDIDATE_V29_GEN__C0533__B2FBAB6BEAEE088F_9e6y_s1931_1a73a4a398d9	V29_GEN__C0533__B2FBAB6BEAEE088F	9e6y	1931	1a73a4a398d9a5f780499e4892b1b1f32db7d7897e3bba8645eb25ffe1d50e34
CANDIDATE_V29_GEN__C0533__60F8EA528DC92DB0_8x6b_s917_33cc8527a0ab	V29_GEN__C0533__60F8EA528DC92DB0	8x6b	917	33cc8527a0abbb1e4d598a793ca8b5266a28337a913a1ace19d718c2fed8ca85
CANDIDATE_V29_GEN__C0533__60F8EA528DC92DB0_9e6y_s917_f44efc8629e7	V29_GEN__C0533__60F8EA528DC92DB0	9e6y	917	f44efc8629e73a2d6aa1ea472af88f97122b052cd739254f29bb8409b5a45746
CANDIDATE_V29_GEN__C0533__3CC3506477582BAA_8x6b_s917_1538ebbc8ff7	V29_GEN__C0533__3CC3506477582BAA	8x6b	917	1538ebbc8ff75c2c75e80e760aed72d36bb4dee621fb5a9b274879a3dd7d1baf
CANDIDATE_V29_GEN__C0533__3CC3506477582BAA_9e6y_s917_1b605e3c67c1	V29_GEN__C0533__3CC3506477582BAA	9e6y	917	1b605e3c67c100a1f66d85c84fc2c07515bbc0f0b0b4b57f56275b88b1bd23cf
CANDIDATE_V29_GEN__C0533__3604407456D920DB_8x6b_s1931_3274297569fe	V29_GEN__C0533__3604407456D920DB	8x6b	1931	3274297569fe504bf57a8e2ef1ef62aaf6803b58d0e736a381d48a35c58d488a
CANDIDATE_V29_GEN__C0533__3604407456D920DB_9e6y_s1931_589140f3b992	V29_GEN__C0533__3604407456D920DB	9e6y	1931	589140f3b992f951882083a0e7bb83f1cb0dd8224c1b8923331670a6bb1fba4d
CANDIDATE_V29_GEN__C0533__3B178407AEC7F5D5_8x6b_s917_4e89b9cd7273	V29_GEN__C0533__3B178407AEC7F5D5	8x6b	917	4e89b9cd7273969e220939079130a652b0e3fa1e8a484835717d543e4eb603e4
CANDIDATE_V29_GEN__C0533__3B178407AEC7F5D5_9e6y_s917_3503ea1610b7	V29_GEN__C0533__3B178407AEC7F5D5	9e6y	917	3503ea1610b7c8a84beeaed7e3a56990cbd0b6a3b520ca91c976e42ed88b7f69
CANDIDATE_V29_GEN__C0533__E51CC1C182B90455_8x6b_s917_5ac7d6bfb084	V29_GEN__C0533__E51CC1C182B90455	8x6b	917	5ac7d6bfb08449eba39166b6dd5de10f1152d1b16f8321e93bba24c8ee61eaea
CANDIDATE_V29_GEN__C0533__E51CC1C182B90455_9e6y_s917_27bf1efb9f08	V29_GEN__C0533__E51CC1C182B90455	9e6y	917	27bf1efb9f0835cb88f0df9af552d6cce3fd8277f77af86a02eb333521c1c36b
CANDIDATE_V29_GEN__C0527__F6D5770BF42AF4DC_8x6b_s917_0c40897954c7	V29_GEN__C0527__F6D5770BF42AF4DC	8x6b	917	0c40897954c73a13183dd31c622af0d5345c61774d7b803898336761aa504d80
CANDIDATE_V29_GEN__C0527__F6D5770BF42AF4DC_9e6y_s917_18872ae9f828	V29_GEN__C0527__F6D5770BF42AF4DC	9e6y	917	18872ae9f8288d39faa712adb1a42d88bc4867abc4359ff14eff5990136da322
CANDIDATE_V29_GEN__C0527__007D5AD34E7C6D8F_8x6b_s917_cf531614a299	V29_GEN__C0527__007D5AD34E7C6D8F	8x6b	917	cf531614a299d2318b644aaeaf329c2d5c0b0fbb36b2abaf229ce72dd25f33a9
CANDIDATE_V29_GEN__C0527__007D5AD34E7C6D8F_9e6y_s917_264ba91389d5	V29_GEN__C0527__007D5AD34E7C6D8F	9e6y	917	264ba91389d59259841089ce9fc89adbeb11c6df18c4fde597dd1d4c9895c8dc
CANDIDATE_V29_GEN__C0527__830D924D88F6C238_8x6b_s917_dfcd8a478598	V29_GEN__C0527__830D924D88F6C238	8x6b	917	dfcd8a478598d1cccacba3f4bb7f146e4af6b27cda07b025f6b3e6113ad886a3
CANDIDATE_V29_GEN__C0527__830D924D88F6C238_9e6y_s917_7997ddde6801	V29_GEN__C0527__830D924D88F6C238	9e6y	917	7997ddde68012b615662672c7976559935169775a1314bf925a75f8ccc1e96d6
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H3__B09__M01_8x6b_s917_b2623e403664	V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H3__B09__M01	8x6b	917	b2623e4036645b2f49b9f2345a8615e2dfcb1a44ea8cb3282a4ddd90d9d4d12b
