Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0076__00001	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00002	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00004	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00005	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00007	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00008	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00010	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00013	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00038	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00013	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00018	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00019	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00026	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00023	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00024	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00053	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00427	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00029	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00496	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00060	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00167	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00097	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00034	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00038	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00039	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00040	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00041	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00046	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00185	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00046	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00046	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00059	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00067	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00050	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00051	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00052	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00053	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00065	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00055	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00056	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00153	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00849	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00062	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0096__00447	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00114	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00553	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00071	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00202	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00075	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00065	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00067	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00069	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00070	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00071	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00072	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00073	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00075	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00083	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00312	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00078	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00078	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00079	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00100	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00103	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00082	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00083	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00084	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00085	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00102	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00087	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00089	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00257	pvrig_8x6b_chainB
