stage	elapsed_seconds
parse_fasta	0.002
write_normalized_fasta	0.000
write_official_xlsx	0.006
official_validator_deferred	0.000
vhh_screen	26.217
read_screen_summary	0.004
merge_vhh_eval	0.008
load_official_positive_cdrs	0.001
load_local_positive_cdrs	0.001
positive_cdr_novelty	14.641
team_diversity_deferred	0.001
load_docking_summary	0.000
build_portfolio	0.014
write_cdr_novelty	0.004
write_team_diversity	0.001
write_portfolio_ranked	0.012
select_portfolio	0.000
write_submission_fasta	0.000
write_reserve_fasta	0.000
write_submission_xlsx	0.006
write_report	0.000
write_details	0.000
