Nanobody ID,Antigen ID,Prediction
P1MCPUFP__CPUFP500K_0029__00001,pvrig_8x6b_chainB,0.09115774184465408
P1MCPUFP__CPUFP500K_0020__00002,pvrig_8x6b_chainB,0.13819445669651031
P1MCPUFP__CPUFP500K_0019__00003,pvrig_8x6b_chainB,0.16687099635601044
P1MCPUFP__CPUFP500K_0021__00004,pvrig_8x6b_chainB,0.13342972099781036
P1MCPUFP__CPUFP500K_0012__00008,pvrig_8x6b_chainB,0.027715981006622314
P1MCPUFP__CPUFP500K_0010__00006,pvrig_8x6b_chainB,0.08241394907236099
P1MCPUFP__CPUFP500K_0013__00007,pvrig_8x6b_chainB,0.1225014254450798
P1MCPUFP__CPUFP500K_0008__00011,pvrig_8x6b_chainB,0.09073992818593979
P1MCPUFP__CPUFP500K_0002__00141,pvrig_8x6b_chainB,0.11944188922643661
P1MCPUFP__CPUFP500K_0001__00010,pvrig_8x6b_chainB,0.09837418794631958
P1MCPUFP__CPUFP500K_0092__00219,pvrig_8x6b_chainB,0.05318790674209595
P1MCPUFP__CPUFP500K_0091__00021,pvrig_8x6b_chainB,0.04156210646033287
P1MCPUFP__CPUFP500K_0093__00921,pvrig_8x6b_chainB,0.10558345913887024
P1MCPUFP__CPUFP500K_0084__00013,pvrig_8x6b_chainB,0.09330207109451294
P1MCPUFP__CPUFP500K_0082__00051,pvrig_8x6b_chainB,0.05091756582260132
P1MCPUFP__CPUFP500K_0085__00018,pvrig_8x6b_chainB,0.062060993164777756
P1MCPUFP__CPUFP500K_0076__00016,pvrig_8x6b_chainB,0.128747820854187
P1MCPUFP__CPUFP500K_0074__00017,pvrig_8x6b_chainB,0.1460409015417099
P1MCPUFP__CPUFP500K_0073__00019,pvrig_8x6b_chainB,0.10684782266616821
P1MCPUFP__CPUFP500K_0064__00019,pvrig_8x6b_chainB,0.07647549360990524
P1MCPUFP__CPUFP500K_0066__00020,pvrig_8x6b_chainB,0.05284957215189934
P1MCPUFP__CPUFP500K_0065__00021,pvrig_8x6b_chainB,0.12420014292001724
P1MCPUFP__CPUFP500K_0056__00022,pvrig_8x6b_chainB,0.06641867011785507
P1MCPUFP__CPUFP500K_0055__00023,pvrig_8x6b_chainB,0.06714730709791183
P1MCPUFP__CPUFP500K_0057__00024,pvrig_8x6b_chainB,0.03904452919960022
P1MCPUFP__CPUFP500K_0048__00025,pvrig_8x6b_chainB,0.03063720464706421
