candidate_id	pose_name	pdb_sha256	proteinmpnn_nll_cdr13	proteinmpnn_loglik_cdr13	proteinmpnn_global_nll	score_npz_sha256
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1	d5e581704f8f91b284ab0a778321e94d617bafce975a6ee4f5c5eb53ec23123e	2.2541940212249756	-2.2541940212249756	1.6852494478225708	d8a208db4c68d31cbd5b111d56dbe1d049d5ef26f429513138b2592e9aced1ce
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1	33f792300343676f19fee8946507f080df33e7356e5d1c582fc96a93350395ce	2.2427618503570557	-2.2427618503570557	1.6687206029891968	5e6845532db8b4e6318b1e484104ad693be0ecbfbdeeb568792f28aa30a216b9
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2	ab28105a760f010a8b52185e5705aa4a8818fc15dfc3b37c1244288b6d18f70d	2.2248950004577637	-2.2248950004577637	1.685018539428711	f68756f0513d5d67dc441bb431779ccb56921aeedff58ea9c4233af634c9348b
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3	7cb9cd408ba90053ef7abc5e709b3d1b1f6acef529030092dc09e4c87852c8b8	2.157137155532837	-2.157137155532837	1.708039402961731	b369d9a3e5e3f191bf5c1546218b5db5baf7c356d0cf81c06d51661c3a8bd322
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1	ecdf92d44d99f8dbcb431c8b169d6275f539061aa25b60824a8629aeb2763b6e	2.168745279312134	-2.168745279312134	1.671488881111145	4eb8236ec59aac61bde52ca1821c361df678ae769c800e4b5cab956a9fdfb6e5
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2	fabda2a52fec6cc32cbc0e835f72bf3fb866a10155ba0cd30eb190a9a4096913	2.192852735519409	-2.192852735519409	1.7385084629058838	da3a7cdcb04d4dbae52e130b926ebeeb366e3e7ef290502af1258adbcaccacfd
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3	f2ee54e7ab68966ef2ee499a607be6fd2a9f1dfb7259fe55d7f9f3b550ca3cda	2.254769802093506	-2.254769802093506	1.6839494705200195	79b290a06b93c1c3b790476781d0fda1a60812bfccaa4f3a385347b4f2cabebd
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1	4868403def4412b0ccbf4580e832061bb02faa10bc03a1712b080d65d34d8878	2.1460208892822266	-2.1460208892822266	1.6662348508834839	f6c1f727a2a5c767126a8f44c767929da54d5b9e71b70532413a12386f6c98fc
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2	7b14e22b92bc7ab2fd7cb99cd84035dc342d85e7d2daee3fd0056cf95f611783	1.951029896736145	-1.951029896736145	1.662424087524414	88077e60efcaee92c3d9e539aecf52c8d28525cc833a43ea8fe0129c9d15949a
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose01__cluster_1_model_1	5ec3989758b3da5885ad411ca82a5ffcbdbce95ba58bce142f7f9668dd02e15b	3.145076036453247	-3.145076036453247	1.8537251949310303	9d27497cf05e279f139d3f04da5b01e70f94950737ca9877ec5899adddc07433
