group_type	group_value	n	any_consensus_a_count	stable_consensus_a_count	strict_good_count	stable_strict_good_count	any_9e6y_a_count	best_haddock_le_m80_count	best_haddock_le_m90_count	any_consensus_a_rate	stable_consensus_a_rate	strict_good_rate	stable_strict_good_rate	any_9e6y_a_rate	best_haddock_le_m80_rate	best_haddock_le_m90_rate	any_consensus_a_wilson95_low	any_consensus_a_wilson95_high	strict_good_wilson95_low	strict_good_wilson95_high	any_consensus_a_lift	strict_good_lift	consensus_a_pose_count	9e6y_a_pose_count	median_best_haddock	mean_best_haddock
patch	P3_charge_aromatic	171	13	4	11	4	13	87	36	0.07602339181286549	0.023391812865497075	0.06432748538011696	0.023391812865497075	0.07602339181286549	0.5087719298245614	0.21052631578947367	0.04496360130209782	0.12571431516629414	0.036295382664577644	0.11150468322363201	1.6563394301356227	2.0584795321637426	17	18	-80.4449	-80.75819064327484
patch	P2_bridge_N_C	169	12	3	10	2	12	77	21	0.07100591715976332	0.01775147928994083	0.05917159763313609	0.011834319526627219	0.07100591715976332	0.4556213017751479	0.1242603550295858	0.041081448211808286	0.12000014325691219	0.03245464956703631	0.10548436511461437	1.547022535565907	1.893491124260355	18	18	-79.6059	-79.5950047337278
patch	P4_cterm_robust	174	11	3	7	2	12	86	30	0.06321839080459771	0.017241379310344827	0.040229885057471264	0.011494252873563218	0.06896551724137931	0.4942528735632184	0.1724137931034483	0.03566308211391016	0.10964375273238004	0.01962148500962294	0.08070149903910356	1.3773538762533628	1.2873563218390804	14	15	-79.95855	-80.31745287356323
patch	P5_upper_interface	174	6	1	1	1	7	70	22	0.034482758620689655	0.005747126436781609	0.005747126436781609	0.005747126436781609	0.040229885057471264	0.40229885057471265	0.12643678160919541	0.015897570022231685	0.0731794513271039	0.0010152042313482327	0.031832003621032764	0.7512839325018342	0.1839080459770115	8	9	-77.32339999999999	-78.14156091954024
patch	P1_core_blocker	168	4	1	2	1	4	68	18	0.023809523809523808	0.005952380952380952	0.011904761904761904	0.005952380952380952	0.023809523809523808	0.40476190476190477	0.10714285714285714	0.009296969097757676	0.05961300380752253	0.003270740864736929	0.04236198136317528	0.5187436676798378	0.38095238095238093	5	5	-77.1077	-76.41744404761906
patch	P6_holdout_ablation	168	1	0	1	0	1	76	32	0.005952380952380952	0.0	0.005952380952380952	0.0	0.005952380952380952	0.4523809523809524	0.19047619047619047	0.0010514882493867714	0.03294260863984144	0.0010514882493867714	0.03294260863984144	0.12968591691995945	0.19047619047619047	1	1	-78.7445	-79.50466607142857
scaffold	qrg	340	18	3	14	3	19	146	47	0.052941176470588235	0.008823529411764706	0.041176470588235294	0.008823529411764706	0.05588235294117647	0.4294117647058823	0.13823529411764707	0.03374664825709931	0.0821253113894356	0.024683675198928924	0.06792175706988321	1.153441802252816	1.3176470588235294	22	24	-78.44460000000001	-78.84739794117647
scaffold	ekg	343	18	5	12	4	19	164	62	0.052478134110787174	0.014577259475218658	0.03498542274052478	0.011661807580174927	0.05539358600583091	0.478134110787172	0.18075801749271136	0.03344920828669279	0.08142051898938943	0.020124217684249057	0.06014758362216863	1.1433533899882142	1.119533527696793	24	25	-79.4482	-79.35454344023324
scaffold	qkg	341	11	4	6	3	11	154	50	0.03225806451612903	0.011730205278592375	0.017595307917888565	0.008797653958944282	0.03225806451612903	0.45161290322580644	0.1466275659824047	0.01810593774724978	0.05683165678890825	0.00808829781081077	0.03785047523745255	0.7028140013726836	0.5630498533724341	17	17	-79.2227	-79.18259706744868
h3_regime	L	522	44	11	32	10	45	280	108	0.0842911877394636	0.0210727969348659	0.06130268199233716	0.019157088122605363	0.08620689655172414	0.5363984674329502	0.20689655172413793	0.06338834700174761	0.11126805142698076	0.043755017049142975	0.08526026055536759	1.8364718350044837	1.9616858237547892	58	60	-81.16175000000001	-81.71400823754789
h3_regime	S	502	3	1	0	0	4	184	51	0.00597609561752988	0.00199203187250996	0.0	0.0	0.00796812749003984	0.3665338645418327	0.10159362549800798	0.002034413440030162	0.01742147947190116	-4.336808689942018e-19	0.007594472261672428	0.13020259387979996	0.0	5	6	-76.5426	-76.44079083665339
cdr3_length	13	200	26	9	19	8	26	108	33	0.13	0.045	0.095	0.04	0.13	0.54	0.165	0.09028141365225628	0.18366463072730121	0.06166261364986359	0.14360265114397636	2.832340425531915	3.04	37	37	-80.9152	-81.2391405
cdr3_length	15	56	4	0	2	0	4	25	14	0.07142857142857142	0.0	0.03571428571428571	0.0	0.07142857142857142	0.44642857142857145	0.25	0.028125581246379636	0.16975682831486205	0.009849218502577639	0.12119005852210082	1.5562310030395137	1.1428571428571428	4	4	-78.9828	-80.74925714285715
cdr3_length	14	54	3	0	2	0	3	27	9	0.05555555555555555	0.0	0.037037037037037035	0.0	0.05555555555555555	0.5	0.16666666666666666	0.019072922503838907	0.15107451463482943	0.010216153585413057	0.12535409343403314	1.210401891252955	1.1851851851851851	3	4	-80.07265000000001	-80.22527037037037
cdr3_length	11	212	11	2	9	2	12	120	52	0.05188679245283019	0.009433962264150943	0.04245283018867924	0.009433962264150943	0.05660377358490566	0.5660377358490566	0.24528301886792453	0.02921626084545352	0.09050857440409987	0.022492521373230837	0.07870020514473419	1.1304696908871938	1.3584905660377358	14	15	-82.17824999999999	-82.79604339622642
cdr3_length	10	70	3	1	0	0	4	23	8	0.04285714285714286	0.014285714285714285	0.0	0.0	0.05714285714285714	0.32857142857142857	0.11428571428571428	0.014681274851143573	0.11859861074180134	0.0	0.05202487486728348	0.9337386018237083	0.0	5	6	-76.20725	-77.09819285714285
cdr3_length	5	180	0	0	0	0	0	66	14	0.0	0.0	0.0	0.0	0.0	0.36666666666666664	0.07777777777777778	0.0	0.02089624981505818	0.0	0.02089624981505818	0.0	0.0	0	0	-76.59700000000001	-75.15353166666667
cdr3_length	7	185	0	0	0	0	0	66	21	0.0	0.0	0.0	0.0	0.0	0.3567567567567568	0.11351351351351352	0.0	0.02034297527663396	0.0	0.02034297527663396	0.0	0.0	0	0	-76.618	-76.88227945945945
cdr3_length	8	67	0	0	0	0	0	29	8	0.0	0.0	0.0	0.0	0.0	0.43283582089552236	0.11940298507462686	0.0	0.05422802421176257	0.0	0.05422802421176257	0.0	0.0	0	0	-77.6322	-77.99322537313432
arm	P2_qrg_L	29	6	0	6	0	6	19	7	0.20689655172413793	0.0	0.20689655172413793	0.0	0.20689655172413793	0.6551724137931034	0.2413793103448276	0.09845936515585207	0.3839044660825772	0.09845936515585207	0.3839044660825772	4.507703595011005	6.620689655172414	6	6	-83.0336	-83.18041724137932
arm	P4_ekg_L	29	5	1	4	1	5	16	6	0.1724137931034483	0.034482758620689655	0.13793103448275862	0.034482758620689655	0.1724137931034483	0.5517241379310345	0.20689655172413793	0.07597745271479928	0.34548800572815114	0.05497350852047822	0.30559357712699325	3.7564196625091713	4.413793103448276	6	6	-80.8466	-82.86644827586207
arm	P3_ekg_L	29	4	2	4	2	4	22	13	0.13793103448275862	0.06896551724137931	0.13793103448275862	0.06896551724137931	0.13793103448275862	0.7586206896551724	0.4482758620689655	0.05497350852047822	0.30559357712699325	0.05497350852047822	0.30559357712699325	3.005135730007337	4.413793103448276	6	6	-87.339	-86.38635172413794
arm	P3_qrg_L	29	4	1	4	1	4	14	4	0.13793103448275862	0.034482758620689655	0.13793103448275862	0.034482758620689655	0.13793103448275862	0.4827586206896552	0.13793103448275862	0.05497350852047822	0.30559357712699325	0.05497350852047822	0.30559357712699325	3.005135730007337	4.413793103448276	5	6	-79.5151	-82.40114137931035
arm	P3_qkg_L	29	4	1	3	1	4	20	10	0.13793103448275862	0.034482758620689655	0.10344827586206896	0.034482758620689655	0.13793103448275862	0.6896551724137931	0.3448275862068966	0.05497350852047822	0.30559357712699325	0.035814240381301043	0.26385447247069155	3.005135730007337	3.310344827586207	5	5	-86.1254	-86.4262172413793
arm	P4_qrg_L	29	3	1	2	1	3	11	3	0.10344827586206896	0.034482758620689655	0.06896551724137931	0.034482758620689655	0.10344827586206896	0.3793103448275862	0.10344827586206896	0.035814240381301043	0.26385447247069155	0.019120864097994433	0.21964947595851925	2.2538517975055026	2.206896551724138	4	4	-77.055	-78.88080689655172
arm	P4_qkg_L	29	3	1	1	0	3	13	5	0.10344827586206896	0.034482758620689655	0.034482758620689655	0.0	0.10344827586206896	0.4482758620689655	0.1724137931034483	0.035814240381301043	0.26385447247069155	0.006113056614032261	0.1717589106470025	2.2538517975055026	1.103448275862069	4	4	-79.8616	-80.21886206896552
arm	P5_qrg_L	29	3	1	1	1	3	18	4	0.10344827586206896	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.10344827586206896	0.6206896551724138	0.13793103448275862	0.035814240381301043	0.26385447247069155	0.006113056614032261	0.1717589106470025	2.2538517975055026	1.103448275862069	5	5	-81.3067	-82.3033724137931
arm	P2_ekg_L	29	3	0	2	0	3	15	3	0.10344827586206896	0.0	0.06896551724137931	0.0	0.10344827586206896	0.5172413793103449	0.10344827586206896	0.035814240381301043	0.26385447247069155	0.019120864097994433	0.21964947595851925	2.2538517975055026	2.206896551724138	3	3	-80.1748	-79.9479172413793
arm	P2_qkg_L	29	2	2	2	2	2	13	3	0.06896551724137931	0.06896551724137931	0.06896551724137931	0.06896551724137931	0.06896551724137931	0.4482758620689655	0.10344827586206896	0.019120864097994433	0.21964947595851925	0.019120864097994433	0.21964947595851925	1.5025678650036685	2.206896551724138	6	6	-79.7177	-79.83804827586206
arm	P1_qrg_L	29	2	0	1	0	2	17	8	0.06896551724137931	0.0	0.034482758620689655	0.0	0.06896551724137931	0.5862068965517241	0.27586206896551724	0.019120864097994433	0.21964947595851925	0.006113056614032261	0.1717589106470025	1.5025678650036685	1.103448275862069	2	2	-82.6746	-82.87085172413794
arm	P5_ekg_L	29	2	0	0	0	3	16	7	0.06896551724137931	0.0	0.0	0.0	0.10344827586206896	0.5517241379310345	0.2413793103448276	0.019120864097994433	0.21964947595851925	0.0	0.11697359446555587	1.5025678650036685	0.0	2	3	-84.4292	-83.3852
arm	P1_qkg_S	27	1	0	0	0	1	9	0	0.037037037037037035	0.0	0.0	0.0	0.037037037037037035	0.3333333333333333	0.0	0.006567976533097597	0.1828385393415652	6.938893903907228e-18	0.12455903714463581	0.8069345941686367	0.0	1	1	-77.0914	-75.31368518518518
arm	P2_ekg_S	28	1	1	0	0	1	8	2	0.03571428571428571	0.03571428571428571	0.0	0.0	0.03571428571428571	0.2857142857142857	0.07142857142857142	0.00633235649754188	0.17712576118498663	0.0	0.12064720365810762	0.7781155015197568	0.0	3	3	-75.97145	-76.04906785714286
arm	P3_ekg_S	28	1	0	0	0	1	10	5	0.03571428571428571	0.0	0.0	0.0	0.03571428571428571	0.35714285714285715	0.17857142857142858	0.00633235649754188	0.17712576118498663	0.0	0.12064720365810762	0.7781155015197568	0.0	1	1	-74.3245	-75.46490000000001
arm	P1_ekg_L	29	1	1	1	1	1	12	2	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.41379310344827586	0.06896551724137931	0.006113056614032261	0.1717589106470025	0.006113056614032261	0.1717589106470025	0.7512839325018342	1.103448275862069	2	2	-75.2042	-76.18225172413793
arm	P6_ekg_L	29	1	0	1	0	1	20	11	0.034482758620689655	0.0	0.034482758620689655	0.0	0.034482758620689655	0.6896551724137931	0.3793103448275862	0.006113056614032261	0.1717589106470025	0.006113056614032261	0.1717589106470025	0.7512839325018342	1.103448275862069	1	1	-85.0202	-86.69296206896551
arm	P5_qkg_L	29	1	0	0	0	1	13	6	0.034482758620689655	0.0	0.0	0.0	0.034482758620689655	0.4482758620689655	0.20689655172413793	0.006113056614032261	0.1717589106470025	0.0	0.11697359446555587	0.7512839325018342	0.0	1	1	-78.0331	-80.0879172413793
arm	P1_ekg_S	28	0	0	0	0	0	11	3	0.0	0.0	0.0	0.0	0.0	0.39285714285714285	0.10714285714285714	0.0	0.12064720365810762	0.0	0.12064720365810762	0.0	0.0	0	0	-68.80305	-73.06224642857143
arm	P1_qkg_L	29	0	0	0	0	0	11	3	0.0	0.0	0.0	0.0	0.0	0.3793103448275862	0.10344827586206896	0.0	0.11697359446555587	0.0	0.11697359446555587	0.0	0.0	0	0	-75.9518	-76.63894827586208
arm	P1_qrg_S	26	0	0	0	0	0	8	2	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.07692307692307693	0.0	0.12873304380462175	0.0	0.12873304380462175	0.0	0.0	0	0	-73.1871	-73.99418076923077
arm	P2_qkg_S	27	0	0	0	0	0	14	3	0.0	0.0	0.0	0.0	0.0	0.5185185185185185	0.1111111111111111	6.938893903907228e-18	0.12455903714463581	6.938893903907228e-18	0.12455903714463581	0.0	0.0	0	0	-80.582	-79.59983333333332
arm	P2_qrg_S	27	0	0	0	0	0	8	3	0.0	0.0	0.0	0.0	0.0	0.2962962962962963	0.1111111111111111	6.938893903907228e-18	0.12455903714463581	6.938893903907228e-18	0.12455903714463581	0.0	0.0	0	0	-78.7734	-78.77634444444445
arm	P3_qkg_S	28	0	0	0	0	0	15	3	0.0	0.0	0.0	0.0	0.0	0.5357142857142857	0.10714285714285714	0.0	0.12064720365810762	0.0	0.12064720365810762	0.0	0.0	0	0	-81.1721	-79.33087142857143
arm	P3_qrg_S	28	0	0	0	0	0	6	1	0.0	0.0	0.0	0.0	0.0	0.21428571428571427	0.03571428571428571	0.0	0.12064720365810762	0.0	0.12064720365810762	0.0	0.0	0	0	-75.33785	-74.07755
arm	P4_ekg_S	29	0	0	0	0	0	16	5	0.0	0.0	0.0	0.0	0.0	0.5517241379310345	0.1724137931034483	0.0	0.11697359446555587	0.0	0.11697359446555587	0.0	0.0	0	0	-82.6009	-80.0836827586207
arm	P4_qkg_S	29	0	0	0	0	0	16	7	0.0	0.0	0.0	0.0	0.0	0.5517241379310345	0.2413793103448276	0.0	0.11697359446555587	0.0	0.11697359446555587	0.0	0.0	0	0	-81.8773	-81.21447931034483
arm	P4_qrg_S	29	0	0	0	0	1	14	4	0.0	0.0	0.0	0.0	0.034482758620689655	0.4827586206896552	0.13793103448275862	0.0	0.11697359446555587	0.0	0.11697359446555587	0.0	0.0	0	1	-78.1061	-78.64043793103448
arm	P5_ekg_S	29	0	0	0	0	0	11	4	0.0	0.0	0.0	0.0	0.0	0.3793103448275862	0.13793103448275862	0.0	0.11697359446555587	0.0	0.11697359446555587	0.0	0.0	0	0	-78.4056	-77.35755862068966
