job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00197__B_LOWER__H3__B02__M01_8x6b_s917_0008589db68d	V29_RF__RFV1__PLDNANO_VHH_00197__B_LOWER__H3__B02__M01	8x6b	917	0008589db68df1d9be2d3a09179fb7216627f6d20d01ae12c3e39b47e712eb0f
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00312__C_CROSS__H3__B06__M02_9e6y_s917_000c3d55291e	V29_RF__RFV1__PLDNANO_VHH_00312__C_CROSS__H3__B06__M02	9e6y	917	000c3d55291eafc03f4c872da9a9882b63e18039071db1e99112dcee7827a5e1
CANDIDATE_V29_GEN__C0196__B050325D65C4BA91_8x6b_s917_000f267f7a81	V29_GEN__C0196__B050325D65C4BA91	8x6b	917	000f267f7a81c87972f00573a1ecf6e473dc5dc704b85b5da9d2516b722257d0
CANDIDATE_V29_GEN__C0514__1C212D9416C8828A_9e6y_s917_0011a3fafcb8	V29_GEN__C0514__1C212D9416C8828A	9e6y	917	0011a3fafcb8f83066356061806a1ae4e1b03f9c5e234f0d2fb8cb3504830b42
CANDIDATE_V29_GEN__C0090__858B90CA3E5B15F0_8x6b_s917_002095e9fda6	V29_GEN__C0090__858B90CA3E5B15F0	8x6b	917	002095e9fda63030a6b096d0b03bfbfc61149f51ec9ee555b45c1c51d78a7cd0
CANDIDATE_V29_GEN__C0146__9A9A776E739BA791_8x6b_s917_002c85f00d20	V29_GEN__C0146__9A9A776E739BA791	8x6b	917	002c85f00d2000ffc07f6af5dcdef06eddda15462ce6fae8f77a6fef02dcf7d0
CANDIDATE_V29_GEN__C0075__956804B048279042_8x6b_s917_002f8dc6be61	V29_GEN__C0075__956804B048279042	8x6b	917	002f8dc6be618b3a4887d3d5fe1e5fc4349531acdd27d7aafb05a4276c3c0e6d
CANDIDATE_V29_GEN__C0076__9B3C036BF0B0CE02_9e6y_s917_00302275b8b8	V29_GEN__C0076__9B3C036BF0B0CE02	9e6y	917	00302275b8b8532ba6a654a108b15be7591d6ed6cebfdfa083ac20de971d6141
CANDIDATE_V29_GEN__C0509__23F651EE102D3F18_9e6y_s917_0035368f5936	V29_GEN__C0509__23F651EE102D3F18	9e6y	917	0035368f593661a64e0c0c88a34bb945d815db680dd96453588afd0bb3a577ee
CANDIDATE_V29_GEN__C0144__F0F534ACB10CFE2A_8x6b_s1931_004888432a4b	V29_GEN__C0144__F0F534ACB10CFE2A	8x6b	1931	004888432a4b3919dabadfe4ff997afaccd6b6ae5431727e9e98e692a2bd15f2
