candidate_id	pose_name	pdb_sha256	proteinmpnn_nll_vhh	proteinmpnn_loglik_vhh	proteinmpnn_global_nll	score_npz_sha256
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1	d5e581704f8f91b284ab0a778321e94d617bafce975a6ee4f5c5eb53ec23123e	1.6705348491668701	-1.6705348491668701	1.684095025062561	19b4a1912b1200700b7ff6a5445945277a4591730ca7724abf0ab80802dde9bd
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1	33f792300343676f19fee8946507f080df33e7356e5d1c582fc96a93350395ce	1.6352617740631104	-1.6352617740631104	1.6631110906600952	330f996853fab2434cda075bea4a76fb8e33d0812d666ad2c18f6979a2316d52
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2	ab28105a760f010a8b52185e5705aa4a8818fc15dfc3b37c1244288b6d18f70d	1.626166820526123	-1.626166820526123	1.681868314743042	9e5875995453de8c066afd464524a92edff204cae1408351ef53e4201f61ce4b
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3	7cb9cd408ba90053ef7abc5e709b3d1b1f6acef529030092dc09e4c87852c8b8	1.5853127241134644	-1.5853127241134644	1.7050480842590332	b8f3a871f300c8d98e72d8d70c6b67ca8416e3f7cf3550bbdd027d2d98e8bec8
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1	ecdf92d44d99f8dbcb431c8b169d6275f539061aa25b60824a8629aeb2763b6e	1.5701757669448853	-1.5701757669448853	1.6635119915008545	03fda094904b5d3208a228ea9311c64864909dec58d1c46a0d79456e2428b7a2
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2	fabda2a52fec6cc32cbc0e835f72bf3fb866a10155ba0cd30eb190a9a4096913	1.6213829517364502	-1.6213829517364502	1.741251826286316	31cbdbc4d4a4dee6ee6ef5a0b3703e81b2b07825eb27e04fa7f2e14fe07af016
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3	f2ee54e7ab68966ef2ee499a607be6fd2a9f1dfb7259fe55d7f9f3b550ca3cda	1.578919768333435	-1.578919768333435	1.685935378074646	c4b0b7b2548ee1afa8ba4337552c3f1712bd5dfaadb754b5d5ff469b0b9ef430
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1	4868403def4412b0ccbf4580e832061bb02faa10bc03a1712b080d65d34d8878	1.661476969718933	-1.661476969718933	1.6811851263046265	58a1521854947399ea3c1d5e3e2f30d8df274931a59166c6d87728f8234773d9
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2	7b14e22b92bc7ab2fd7cb99cd84035dc342d85e7d2daee3fd0056cf95f611783	1.556264877319336	-1.556264877319336	1.6622518301010132	2051c8038ea62bd57bbd8b7c0977a557b689f2d59018b8feea5a3c4b46acc4c9
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose01__cluster_1_model_1	5ec3989758b3da5885ad411ca82a5ffcbdbce95ba58bce142f7f9668dd02e15b	1.8813406229019165	-1.8813406229019165	1.8470611572265625	9b451199bbab466115882986bdac31d91a0c7a60e068460572dfc2cffd06390a
