stage	elapsed_seconds
parse_fasta	0.002
write_normalized_fasta	0.003
write_official_xlsx	0.043
official_validator	79.565
vhh_screen	1403.680
read_screen_summary	0.001
merge_vhh_eval	0.000
load_official_positive_cdrs	0.005
load_local_positive_cdrs	0.015
positive_cdr_novelty	91.857
team_diversity	51.125
load_docking_summary	0.000
build_portfolio	0.001
write_cdr_novelty	0.008
write_team_diversity	0.001
write_portfolio_ranked	0.048
select_portfolio	0.000
write_submission_fasta	0.003
write_reserve_fasta	0.001
write_submission_xlsx	0.002
write_report	0.001
write_details	0.001
