name,input_type,passed,reason_type,chain,cdr,positive_name,identity,threshold,details
PV25-AF7BF4690276,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-AF7BF4690276,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-AF7BF4690276,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-AF7BF4690276,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-AF7BF4690276,nanobody,false,high_cdr_identity,VH,CDRH3,20,1,0.8,CDRH3 identity to 20 is 1 >= 0.8
PV25-AF7BF4690276,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.866667,0.8,CDRH3 identity to 39 is 0.866667 >= 0.8
PV25-DE9C8DFE4861,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-DE9C8DFE4861,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-DE9C8DFE4861,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-DE9C8DFE4861,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-DE9C8DFE4861,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.933333,0.8,CDRH3 identity to 20 is 0.933333 >= 0.8
PV25-DE9C8DFE4861,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.8,0.8,CDRH3 identity to 39 is 0.8 >= 0.8
PV25-8D20C3023A46,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-8D20C3023A46,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-8D20C3023A46,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-8D20C3023A46,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-8D20C3023A46,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.933333,0.8,CDRH3 identity to 20 is 0.933333 >= 0.8
PV25-8D20C3023A46,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.8,0.8,CDRH3 identity to 39 is 0.8 >= 0.8
PV25-40B33790B584,nanobody,false,high_cdr_identity,VH,CDRH1,30,1,0.8,CDRH1 identity to 30 is 1 >= 0.8
PV25-40B33790B584,nanobody,false,high_cdr_identity,VH,CDRH2,30,1,0.8,CDRH2 identity to 30 is 1 >= 0.8
PV25-40B33790B584,nanobody,false,high_cdr_identity,VH,CDRH3,30,1,0.8,CDRH3 identity to 30 is 1 >= 0.8
PV25-6A6961CA8FD0,nanobody,false,high_cdr_identity,VH,CDRH1,30,1,0.8,CDRH1 identity to 30 is 1 >= 0.8
PV25-6A6961CA8FD0,nanobody,false,high_cdr_identity,VH,CDRH2,30,1,0.8,CDRH2 identity to 30 is 1 >= 0.8
PV25-6A6961CA8FD0,nanobody,false,high_cdr_identity,VH,CDRH3,30,0.928571,0.8,CDRH3 identity to 30 is 0.928571 >= 0.8
PV25-C255FFAAB1B9,nanobody,false,high_cdr_identity,VH,CDRH1,30,1,0.8,CDRH1 identity to 30 is 1 >= 0.8
PV25-C255FFAAB1B9,nanobody,false,high_cdr_identity,VH,CDRH2,30,1,0.8,CDRH2 identity to 30 is 1 >= 0.8
PV25-C255FFAAB1B9,nanobody,false,high_cdr_identity,VH,CDRH3,30,0.928571,0.8,CDRH3 identity to 30 is 0.928571 >= 0.8
PV25-804E6EE661C1,nanobody,false,high_cdr_identity,VH,CDRH1,38,1,0.8,CDRH1 identity to 38 is 1 >= 0.8
PV25-804E6EE661C1,nanobody,false,high_cdr_identity,VH,CDRH2,38,1,0.8,CDRH2 identity to 38 is 1 >= 0.8
PV25-804E6EE661C1,nanobody,false,high_cdr_identity,VH,CDRH3,38,1,0.8,CDRH3 identity to 38 is 1 >= 0.8
PV25-675BA2BE55B3,nanobody,false,high_cdr_identity,VH,CDRH1,38,1,0.8,CDRH1 identity to 38 is 1 >= 0.8
PV25-675BA2BE55B3,nanobody,false,high_cdr_identity,VH,CDRH2,38,1,0.8,CDRH2 identity to 38 is 1 >= 0.8
PV25-675BA2BE55B3,nanobody,false,high_cdr_identity,VH,CDRH3,38,0.9375,0.8,CDRH3 identity to 38 is 0.9375 >= 0.8
PV25-F71A83DB4BFF,nanobody,false,high_cdr_identity,VH,CDRH1,38,1,0.8,CDRH1 identity to 38 is 1 >= 0.8
PV25-F71A83DB4BFF,nanobody,false,high_cdr_identity,VH,CDRH2,38,1,0.8,CDRH2 identity to 38 is 1 >= 0.8
PV25-F71A83DB4BFF,nanobody,false,high_cdr_identity,VH,CDRH3,38,0.9375,0.8,CDRH3 identity to 38 is 0.9375 >= 0.8
PV25-3571F177632A,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-3571F177632A,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-3571F177632A,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-3571F177632A,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-3571F177632A,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.866667,0.8,CDRH3 identity to 20 is 0.866667 >= 0.8
PV25-3571F177632A,nanobody,false,high_cdr_identity,VH,CDRH3,39,1,0.8,CDRH3 identity to 39 is 1 >= 0.8
PV25-8938C0A749C4,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-8938C0A749C4,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-8938C0A749C4,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-8938C0A749C4,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-8938C0A749C4,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.8,0.8,CDRH3 identity to 20 is 0.8 >= 0.8
PV25-8938C0A749C4,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.928571,0.8,CDRH3 identity to 39 is 0.928571 >= 0.8
PV25-2BBDF6129351,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-2BBDF6129351,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-2BBDF6129351,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-2BBDF6129351,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-2BBDF6129351,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.8,0.8,CDRH3 identity to 20 is 0.8 >= 0.8
PV25-2BBDF6129351,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.928571,0.8,CDRH3 identity to 39 is 0.928571 >= 0.8
PV25-9F1C72694644,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
PV25-9F1C72694644,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
PV25-9F1C72694644,nanobody,false,high_cdr_identity,VH,CDRH3,151,1,0.8,CDRH3 identity to 151 is 1 >= 0.8
PV25-F64FB2334278,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
PV25-F64FB2334278,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
PV25-F64FB2334278,nanobody,false,high_cdr_identity,VH,CDRH3,151,0.947368,0.8,CDRH3 identity to 151 is 0.947368 >= 0.8
PV25-F02C5D45E58B,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
PV25-F02C5D45E58B,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
PV25-F02C5D45E58B,nanobody,false,high_cdr_identity,VH,CDRH3,151,0.947368,0.8,CDRH3 identity to 151 is 0.947368 >= 0.8
PV25-9215C414C637,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PV25-9215C414C637,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PV25-9215C414C637,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PV25-9215C414C637,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PV25-9215C414C637,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.8,0.8,CDRH3 identity to 20 is 0.8 >= 0.8
PV25-9215C414C637,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.8,0.8,CDRH3 identity to 39 is 0.8 >= 0.8
PV25-D4008458DBA9,nanobody,false,high_cdr_identity,VH,CDRH1,30,1,0.8,CDRH1 identity to 30 is 1 >= 0.8
PV25-D4008458DBA9,nanobody,false,high_cdr_identity,VH,CDRH2,30,1,0.8,CDRH2 identity to 30 is 1 >= 0.8
PV25-47791B58B2D2,nanobody,false,high_cdr_identity,VH,CDRH1,38,1,0.8,CDRH1 identity to 38 is 1 >= 0.8
PV25-47791B58B2D2,nanobody,false,high_cdr_identity,VH,CDRH2,38,1,0.8,CDRH2 identity to 38 is 1 >= 0.8
PV25-47791B58B2D2,nanobody,false,high_cdr_identity,VH,CDRH3,38,0.8125,0.8,CDRH3 identity to 38 is 0.8125 >= 0.8
