candidate_id,input_row_index,model_key,model_family,model_name,model_version,status,raw_score,raw_prediction,raw_score_name,raw_site_scores_json,raw_site_positions_json,raw_components_json,checkpoint_path,checkpoint_status,checkpoint_size_bytes,checkpoint_mtime,source_model_root,source_script,adapter_version,evidence_boundary,error
zym_test_6823,0,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.1292934567,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_7635,1,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.01951246895,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_6720,2,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.04136299714,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_1937,3,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.0369146876,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_6847,4,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.03210730851,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_9290,5,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.1357780099,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_5495,6,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.0168496836,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_9743,7,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.03162816167,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_9666,8,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.07280633599,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_208099,9,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.07373245806,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_13839,10,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.09000180662,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_3633872,11,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.08453059942,0,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
zym_test_8787,12,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,ok,0.4132415354,1,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,
