system_id	candidate_id	md_selection_channel	source_job_id	md_seed	gpu	production_ns	analysis_window_ns	md_role	cdr3_rmsf_nm_mean	pvrl2_occlusion_retention_status	vhh_rmsd_nm_mean	vhh_rmsd_nm_median	vhh_rmsd_nm_stdev	complex_rmsd_nm_mean	complex_rmsd_nm_median	complex_rmsd_nm_stdev	min_interface_distance_nm_mean	min_interface_distance_nm_median	min_interface_distance_nm_stdev	interface_contacts_045nm_mean	interface_contacts_045nm_median	interface_contacts_045nm_stdev	interface_contacts_045nm_nonzero_occupancy	hotspot_contacts_045nm_mean	hotspot_contacts_045nm_median	hotspot_contacts_045nm_stdev	hotspot_contacts_045nm_nonzero_occupancy	interface_hbonds_mean	interface_hbonds_median	interface_hbonds_stdev	interface_hbonds_nonzero_occupancy
P1MCPUFP__CPUFP500K_0107__00292	P1MCPUFP__CPUFP500K_0107__00292	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0107__00292_8x6b_s917_e33e579a4513	917	0	2	1.0-2.0	DESCRIPTIVE_ONLY	0.07998421052631578	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.7511712613861387	0.7339614	0.1536601359221656	0.20227797722772278	0.2026375	0.021865061048101472	0.20086328712871288	0.2024573	0.01441346332741803	650.5247524752475	615.0	122.42577820660642	1.0	641.4851485148515	611.0	118.25301066741868	1.0	0.6732673267326733	0.0	0.7848681656477787	0.49504950495049505
P1MCPUFP__CPUFP500K_0107__00292	P1MCPUFP__CPUFP500K_0107__00292	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0107__00292_8x6b_s917_e33e579a4513	1931	1	2	1.0-2.0	DESCRIPTIVE_ONLY	0.059657894736842104	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.42653178712871287	0.4174275	0.08360940304288422	0.2129293425742574	0.2072813	0.02541288246788241	0.1909725405940594	0.1894494	0.014328263843202755	724.6336633663366	718.0	80.74525676806127	1.0	697.5841584158416	687.0	76.89960889402568	1.0	1.5346534653465347	1.0	1.0860442931328387	0.8118811881188119
P1MCPUFP__CPUFP500K_0107__00292	P1MCPUFP__CPUFP500K_0107__00292	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0107__00292_8x6b_s917_e33e579a4513	3253	2	2	1.0-2.0	DESCRIPTIVE_ONLY	0.050957894736842105	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.446128697029703	0.4393606	0.0722632326918258	0.19413184158415842	0.1938289	0.021261836698808163	0.17871797722772279	0.1758694	0.013695286254715172	575.7920792079208	596.0	107.44921128871995	1.0	565.4653465346535	589.0	101.48409272573245	1.0	3.782178217821782	4.0	1.4932452558039426	1.0
P1MCPUFP__CPUFP500K_0032__00042	P1MCPUFP__CPUFP500K_0032__00042	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0032__00042_8x6b_s917_49e683d41b36	917	4	2	1.0-2.0	DESCRIPTIVE_ONLY	0.04106875	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.6013169841584158	0.6076034	0.08014574428532596	0.20690700594059405	0.2074766	0.016323329970690536	0.18248099108910892	0.1799417	0.014362076523599316	786.8514851485148	783.0	57.19627249133675	1.0	776.990099009901	773.0	55.71328565970686	1.0	1.900990099009901	2.0	0.9174323888008218	0.9702970297029703
P1MCPUFP__CPUFP500K_0032__00042	P1MCPUFP__CPUFP500K_0032__00042	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0032__00042_8x6b_s917_49e683d41b36	1931	0	2	1.0-2.0	DESCRIPTIVE_ONLY	0.04328125	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.330410797029703	0.3258054	0.04245650459756736	0.18971997128712872	0.1893007	0.01588660496910599	0.1893142782178218	0.1894121	0.012721770789622172	658.1980198019802	657.0	58.255500705216235	1.0	651.9702970297029	647.0	57.75373725776113	1.0	1.7623762376237624	2.0	0.9243516845135689	0.900990099009901
P1MCPUFP__CPUFP500K_0032__00042	P1MCPUFP__CPUFP500K_0032__00042	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0032__00042_8x6b_s917_49e683d41b36	3253	1	2	1.0-2.0	DESCRIPTIVE_ONLY	0.06274375	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.5180319851485149	0.5019647	0.10388820343327124	0.2333993603960396	0.2312632	0.025497608770201047	0.18031007623762377	0.1794156	0.012969415658876179	577.4653465346535	596.0	100.07388996437925	1.0	557.3663366336634	571.0	90.37301388719419	1.0	2.3069306930693068	2.0	0.9723155403715579	0.9702970297029703
P1MCPUFP__CPUFP500K_0188__00549	P1MCPUFP__CPUFP500K_0188__00549	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0188__00549_8x6b_s1931_de830fe00bbf	917	2	2	1.0-2.0	DESCRIPTIVE_ONLY	0.0443	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.8258923326732673	0.83865	0.12144238508666749	0.2586748297029703	0.2594139	0.024813288892504358	0.17697996633663365	0.1774429	0.007673163441879591	1014.5643564356436	1004.0	85.35974146053623	1.0	934.6039603960396	922.0	75.50228889165956	1.0	5.900990099009901	6.0	1.5764664742570411	1.0
P1MCPUFP__CPUFP500K_0188__00549	P1MCPUFP__CPUFP500K_0188__00549	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0188__00549_8x6b_s1931_de830fe00bbf	1931	4	2	1.0-2.0	DESCRIPTIVE_ONLY	0.05755263157894737	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.4839736801980198	0.4959951	0.09062437911110055	0.1842874396039604	0.1837869	0.015023898326814885	0.16901154653465347	0.1700912	0.00820111924592335	732.049504950495	732.0	45.63509510996466	1.0	681.5742574257425	676.0	40.17125383093704	1.0	6.207920792079208	6.0	1.3666235887507816	1.0
P1MCPUFP__CPUFP500K_0188__00549	P1MCPUFP__CPUFP500K_0188__00549	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0188__00549_8x6b_s1931_de830fe00bbf	3253	0	2	1.0-2.0	DESCRIPTIVE_ONLY	0.04872105263157895	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.7751300069306931	0.765788	0.08733953775295047	0.2670902336633663	0.2615083	0.03135684425105635	0.17561441386138613	0.1745995	0.00953863421656537	877.2277227722773	868.0	73.24134540676087	1.0	816.5148514851485	812.0	71.52436597375919	1.0	6.03960396039604	6.0	1.501951153964471	1.0
P1MCPUFP__CPUFP500K_0100__00383	P1MCPUFP__CPUFP500K_0100__00383	CORE_EXPLOITATION	CANDIDATE_P1MCPUFP__CPUFP500K_0100__00383_8x6b_s1931_53562365f0ab	917	1	2	1.0-2.0	DESCRIPTIVE_ONLY	0.05630526315789473	NOT_DIRECTLY_OBSERVABLE_IN_BINARY_MD	0.8757423267326733	0.8668996	0.14363970564131473	0.3120986336633663	0.3143196	0.028095953483369435	0.18023157722772276	0.1778932	0.010762682459596915	451.25742574257424	446.0	56.34435381859113	1.0	447.6930693069307	442.0	54.772570748696275	1.0	3.4455445544554455	4.0	0.9384550979067553	1.0
