candidate_id	pose_name	pdb_sha256	proteinmpnn_nll_cdr	proteinmpnn_loglik_cdr	proteinmpnn_global_nll	score_npz_sha256
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1	d5e581704f8f91b284ab0a778321e94d617bafce975a6ee4f5c5eb53ec23123e	2.1411023139953613	-2.1411023139953613	1.6790727376937866	9760910e620da5c7368da44d1c66f3af33221c6af7c27afcbc752ee4b2a6aacc
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1	33f792300343676f19fee8946507f080df33e7356e5d1c582fc96a93350395ce	2.2374048233032227	-2.2374048233032227	1.6694896221160889	c266d054ada043b59c409bf777ca7bb9ab898235df8b968119768d8cf8d3b5d6
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2	ab28105a760f010a8b52185e5705aa4a8818fc15dfc3b37c1244288b6d18f70d	2.18579363822937	-2.18579363822937	1.6822091341018677	4f341661a5c826b6bbe1f34a95d508f0221f2e96900cc338c64bcb6ca14b4bec
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3	7cb9cd408ba90053ef7abc5e709b3d1b1f6acef529030092dc09e4c87852c8b8	2.2076425552368164	-2.2076425552368164	1.7076126337051392	b4bc7933dba5f52dc8caf9630f3ccaa41d44697dd9513af68b8bc442cd31799c
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1	ecdf92d44d99f8dbcb431c8b169d6275f539061aa25b60824a8629aeb2763b6e	2.01076078414917	-2.01076078414917	1.6710721254348755	ed687f268acc99b73544df6292be02fba95d1742dce0aaca18dd5024abedcccd
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2	fabda2a52fec6cc32cbc0e835f72bf3fb866a10155ba0cd30eb190a9a4096913	2.128483772277832	-2.128483772277832	1.733858585357666	5d1061a7f02ab027c165bd66d6ac60c5d1c0e0d692d713ee2d7223a2f8131cdb
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3	f2ee54e7ab68966ef2ee499a607be6fd2a9f1dfb7259fe55d7f9f3b550ca3cda	2.12972092628479	-2.12972092628479	1.6836557388305664	9dfedfe1e7adb0555adf5eff5ef405df9fcc9a5776bea3040a74545b13d1abcd
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1	4868403def4412b0ccbf4580e832061bb02faa10bc03a1712b080d65d34d8878	2.1009974479675293	-2.1009974479675293	1.6767539978027344	b5bb49d323c833226d6551d33b1b43ef7b8344be3bd110c5cfa71757054c0fcd
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2	7b14e22b92bc7ab2fd7cb99cd84035dc342d85e7d2daee3fd0056cf95f611783	1.9543781280517578	-1.9543781280517578	1.656906247138977	9d119723971254e6949d4ae9b53761846ca162476ce4fb25b11e89c4bfc15e95
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose01__cluster_1_model_1	5ec3989758b3da5885ad411ca82a5ffcbdbce95ba58bce142f7f9668dd02e15b	2.808933973312378	-2.808933973312378	1.8516780138015747	bc63582e9f14fd6853373995b4917d80acda8187995a11ebe1cff20f180007a4
