Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0066__00001	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00002	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00004	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00005	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00008	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00024	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00010	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00011	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00016	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00019	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00039	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00367	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00025	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00448	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00048	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00134	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00029	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00091	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00029	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00030	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00034	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00035	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00038	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00175	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00043	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00055	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00062	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00046	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00048	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00049	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00061	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00051	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00052	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00136	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00816	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00057	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0096__00300	pvrig_8x6b_chainB
