schema_version	parent_framework_cluster	analyzable_rows	M1_sequence_spearman	M2_structure_spearman	delta_M2_minus_M1	claim_boundary
phase2_v4_h_partial_success_preview_evaluation_v1	C0078	118	-0.0170514098729	-0.055120353226	-0.0380689433531	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0086	116	-0.0752162380348	0.205989313036	0.281205551071	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0145	117	0.142082153187	0.131674384451	-0.0104077687362	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0148	115	0.122323049002	0.145932297009	0.0236092480076	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0162	112	0.444374209861	0.446535346978	0.00216113711689	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0283	29	0.051724137931	0.252709359606	0.200985221675	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0348	38	0.147827989933	0.35769777875	0.209869788817	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0360	77	0.107786949892	0.209054103791	0.101267153899	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0409	96	0.0975311991319	0.136896364623	0.039365165491	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
phase2_v4_h_partial_success_preview_evaluation_v1	C0417	119	0.135251388691	0.163651901439	0.0284005127475	Partial active-campaign development preview only; not terminal teacher, Docking Gold, binding, affinity, competition, experimental blocking, formal validation, or final submission authority.
