mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.04,0.0,0.62,0.7,0.66,91.35136279926343,88.67285714285715,0.12196921505422838
mutant_0001,0.04,0.0,0.65,0.72,0.68,91.91011049723751,89.35940000000002,-0.6722318399175702
mutant_0002,0.04,0.0,0.64,0.72,0.68,91.59716390423577,88.15809523809524,0.17310415793918563
mutant_0003,0.04,0.0,0.64,0.71,0.67,91.69898710865556,88.99510000000001,-0.028862786117365067
mutant_0004,0.04,0.0,0.65,0.72,0.68,91.775359116022,88.47308411214952,0.1314906215677166
mutant_0005,0.04,0.0,0.62,0.7,0.66,91.18145488029467,88.3570642201835,0.05956656738131755
mutant_0006,0.04,0.0,0.63,0.71,0.67,91.48860036832416,88.23796296296298,0.33417878147589497
mutant_0007,0.04,0.0,0.64,0.72,0.67,91.4476979742174,88.2162376237624,0.04637910252696903
mutant_0008,0.04,0.0,0.63,0.71,0.67,91.40141804788215,88.0525,0.16505870396288397
mutant_0009,0.04,0.0,0.63,0.71,0.67,91.53449355432787,88.28584158415839,0.19017058757902477
mutant_0010,0.04,0.0,0.63,0.71,0.67,91.39040515653777,88.2379,0.24892808118654916
mutant_0011,0.04,0.0,0.66,0.73,0.69,91.78254143646407,88.26862385321101,0.17818844077661192
mutant_0012,0.04,0.0,0.62,0.7,0.66,91.51410681399621,88.48188118811883,0.06363810797872432
mutant_0013,0.04,0.0,0.64,0.72,0.68,91.4485267034991,88.2441176470588,0.1122326392837355
mutant_0014,0.04,0.0,0.63,0.7,0.66,91.37349907918966,88.35600000000001,0.12393400987024061
mutant_0015,0.04,0.0,0.63,0.71,0.66,91.3835543278083,88.26173469387757,0.07564701544466175
mutant_0016,0.04,0.0,0.64,0.72,0.67,91.57038674033136,88.86939999999998,0.08073382798765653
mutant_0017,0.04,0.0,0.61,0.69,0.65,91.35232044198897,87.46415841584158,-0.16130171860874323
mutant_0018,0.04,0.0,0.65,0.73,0.69,91.61909760589306,88.2378217821782,0.04015701212958466
mutant_0019,0.04,0.0,0.63,0.72,0.67,91.61979742173112,88.44229999999999,0.14913021710567678
mutant_0020,0.04,0.0,0.64,0.72,0.67,91.6113259668509,88.43742574257426,-0.7479368978888887
mutant_0021,0.04,0.0,0.64,0.72,0.68,91.64861878453047,88.45217821782178,0.14947898368547832
mutant_0022,0.04,0.0,0.64,0.72,0.67,91.61276243093913,88.40287128712872,0.09417617521026078
mutant_0023,0.04,0.0,0.64,0.72,0.67,91.63812154696136,88.38712871287127,0.06749852877462807
mutant_0024,0.04,0.0,0.64,0.72,0.67,91.64788213627992,88.40356435643562,0.06219606632003439
mutant_0025,0.04,0.0,0.64,0.72,0.67,91.61289134438302,88.3711881188119,0.06877774761339227
