Nanobody ID,Antigen ID,Prediction
P1MCPUFP__CPUFP500K_0020__00001,pvrig_8x6b_chainB,0.12955549359321594
P1MCPUFP__CPUFP500K_0019__00002,pvrig_8x6b_chainB,0.19100815057754517
P1MCPUFP__CPUFP500K_0021__00003,pvrig_8x6b_chainB,0.1680942177772522
P1MCPUFP__CPUFP500K_0012__00005,pvrig_8x6b_chainB,0.046046722680330276
P1MCPUFP__CPUFP500K_0010__00005,pvrig_8x6b_chainB,0.0733146145939827
P1MCPUFP__CPUFP500K_0013__00006,pvrig_8x6b_chainB,0.12987451255321503
P1MCPUFP__CPUFP500K_0008__00010,pvrig_8x6b_chainB,0.10776679962873459
P1MCPUFP__CPUFP500K_0002__00109,pvrig_8x6b_chainB,0.10585702210664749
P1MCPUFP__CPUFP500K_0001__00009,pvrig_8x6b_chainB,0.1263865828514099
P1MCPUFP__CPUFP500K_0092__00156,pvrig_8x6b_chainB,0.10078117996454239
P1MCPUFP__CPUFP500K_0091__00020,pvrig_8x6b_chainB,0.1308971643447876
P1MCPUFP__CPUFP500K_0093__00898,pvrig_8x6b_chainB,0.08147609978914261
P1MCPUFP__CPUFP500K_0084__00012,pvrig_8x6b_chainB,0.0801461711525917
P1MCPUFP__CPUFP500K_0082__00047,pvrig_8x6b_chainB,0.0745876207947731
P1MCPUFP__CPUFP500K_0085__00017,pvrig_8x6b_chainB,0.09366621822118759
P1MCPUFP__CPUFP500K_0076__00015,pvrig_8x6b_chainB,0.13209466636180878
P1MCPUFP__CPUFP500K_0074__00016,pvrig_8x6b_chainB,0.09843822568655014
P1MCPUFP__CPUFP500K_0073__00018,pvrig_8x6b_chainB,0.08658751100301743
P1MCPUFP__CPUFP500K_0064__00018,pvrig_8x6b_chainB,0.13067573308944702
P1MCPUFP__CPUFP500K_0066__00019,pvrig_8x6b_chainB,0.07783234119415283
P1MCPUFP__CPUFP500K_0065__00020,pvrig_8x6b_chainB,0.1318640410900116
P1MCPUFP__CPUFP500K_0056__00021,pvrig_8x6b_chainB,0.05675031617283821
P1MCPUFP__CPUFP500K_0055__00022,pvrig_8x6b_chainB,0.055149685591459274
P1MCPUFP__CPUFP500K_0057__00023,pvrig_8x6b_chainB,0.05672033503651619
P1MCPUFP__CPUFP500K_0048__00024,pvrig_8x6b_chainB,0.07404330372810364
P1MCPUFP__CPUFP500K_0046__00028,pvrig_8x6b_chainB,0.046469029039144516
P1MCPUFP__CPUFP500K_0049__00084,pvrig_8x6b_chainB,0.07188332825899124
P1MCPUFP__CPUFP500K_0040__00027,pvrig_8x6b_chainB,0.027772078290581703
P1MCPUFP__CPUFP500K_0038__00028,pvrig_8x6b_chainB,0.04844295606017113
P1MCPUFP__CPUFP500K_0037__00029,pvrig_8x6b_chainB,0.0505225770175457
P1MCPUFP__CPUFP500K_0028__00037,pvrig_8x6b_chainB,0.0935351625084877
P1MCPUFP__CPUFP500K_0030__00043,pvrig_8x6b_chainB,0.07475314289331436
P1MCPUFP__CPUFP500K_0029__00032,pvrig_8x6b_chainB,0.04986318573355675
P1MCPUFP__CPUFP500K_0020__00033,pvrig_8x6b_chainB,0.14766211807727814
P1MCPUFP__CPUFP500K_0019__00034,pvrig_8x6b_chainB,0.2517039477825165
P1MCPUFP__CPUFP500K_0021__00035,pvrig_8x6b_chainB,0.08803412318229675
P1MCPUFP__CPUFP500K_0012__00042,pvrig_8x6b_chainB,0.07933572679758072
P1MCPUFP__CPUFP500K_0010__00037,pvrig_8x6b_chainB,0.08456916362047195
P1MCPUFP__CPUFP500K_0013__00038,pvrig_8x6b_chainB,0.1336124688386917
P1MCPUFP__CPUFP500K_0008__00097,pvrig_8x6b_chainB,0.07158137112855911
P1MCPUFP__CPUFP500K_0002__00634,pvrig_8x6b_chainB,0.11990740150213242
P1MCPUFP__CPUFP500K_0001__00043,pvrig_8x6b_chainB,0.09483394026756287
P1MCPUFP__CPUFP500K_0092__00754,pvrig_8x6b_chainB,0.06235192343592644
P1MCPUFP__CPUFP500K_0091__00082,pvrig_8x6b_chainB,0.08668861538171768
P1MCPUFP__CPUFP500K_0193__00340,pvrig_8x6b_chainB,0.09078695625066757
P1MCPUFP__CPUFP500K_0084__00049,pvrig_8x6b_chainB,0.060359299182891846
P1MCPUFP__CPUFP500K_0082__00140,pvrig_8x6b_chainB,0.07222522050142288
P1MCPUFP__CPUFP500K_0085__00052,pvrig_8x6b_chainB,0.11059274524450302
P1MCPUFP__CPUFP500K_0076__00047,pvrig_8x6b_chainB,0.12432097643613815
P1MCPUFP__CPUFP500K_0074__00048,pvrig_8x6b_chainB,0.09880825877189636
P1MCPUFP__CPUFP500K_0073__00050,pvrig_8x6b_chainB,0.09520506858825684
P1MCPUFP__CPUFP500K_0064__00050,pvrig_8x6b_chainB,0.07718992978334427
P1MCPUFP__CPUFP500K_0066__00051,pvrig_8x6b_chainB,0.048200905323028564
P1MCPUFP__CPUFP500K_0065__00052,pvrig_8x6b_chainB,0.11600301414728165
P1MCPUFP__CPUFP500K_0056__00053,pvrig_8x6b_chainB,0.10080432891845703
P1MCPUFP__CPUFP500K_0055__00054,pvrig_8x6b_chainB,0.06661088019609451
P1MCPUFP__CPUFP500K_0057__00055,pvrig_8x6b_chainB,0.07944328337907791
P1MCPUFP__CPUFP500K_0048__00056,pvrig_8x6b_chainB,0.14814114570617676
P1MCPUFP__CPUFP500K_0046__00062,pvrig_8x6b_chainB,0.08651596307754517
P1MCPUFP__CPUFP500K_0049__00245,pvrig_8x6b_chainB,0.07077597081661224
P1MCPUFP__CPUFP500K_0040__00060,pvrig_8x6b_chainB,0.0692577213048935
P1MCPUFP__CPUFP500K_0038__00060,pvrig_8x6b_chainB,0.04727733135223389
P1MCPUFP__CPUFP500K_0037__00061,pvrig_8x6b_chainB,0.04495612904429436
P1MCPUFP__CPUFP500K_0028__00079,pvrig_8x6b_chainB,0.03191462531685829
P1MCPUFP__CPUFP500K_0030__00082,pvrig_8x6b_chainB,0.10579129308462143
P1MCPUFP__CPUFP500K_0029__00064,pvrig_8x6b_chainB,0.06810911744832993
P1MCPUFP__CPUFP500K_0020__00065,pvrig_8x6b_chainB,0.09351519495248795
P1MCPUFP__CPUFP500K_0019__00066,pvrig_8x6b_chainB,0.23287659883499146
P1MCPUFP__CPUFP500K_0021__00067,pvrig_8x6b_chainB,0.0949816107749939
P1MCPUFP__CPUFP500K_0012__00081,pvrig_8x6b_chainB,0.04778914526104927
P1MCPUFP__CPUFP500K_0010__00069,pvrig_8x6b_chainB,0.0752139687538147
P1MCPUFP__CPUFP500K_0013__00070,pvrig_8x6b_chainB,0.10945258289575577
P1MCPUFP__CPUFP500K_0008__00209,pvrig_8x6b_chainB,0.0795881524682045
P1MCPUFP__CPUFP500K_0003__00029,pvrig_8x6b_chainB,0.12674365937709808
P1MCPUFP__CPUFP500K_0001__00076,pvrig_8x6b_chainB,0.06515094637870789
P1MCPUFP__CPUFP500K_0192__00004,pvrig_8x6b_chainB,0.09606561809778214
P1MCPUFP__CPUFP500K_0091__00138,pvrig_8x6b_chainB,0.08151186257600784
P1MCPUFP__CPUFP500K_0193__00704,pvrig_8x6b_chainB,0.09038883447647095
P1MCPUFP__CPUFP500K_0084__00087,pvrig_8x6b_chainB,0.09127503633499146
P1MCPUFP__CPUFP500K_0082__00245,pvrig_8x6b_chainB,0.04468643292784691
P1MCPUFP__CPUFP500K_0085__00090,pvrig_8x6b_chainB,0.09577900916337967
P1MCPUFP__CPUFP500K_0076__00079,pvrig_8x6b_chainB,0.09737586230039597
P1MCPUFP__CPUFP500K_0074__00082,pvrig_8x6b_chainB,0.1604568511247635
P1MCPUFP__CPUFP500K_0073__00082,pvrig_8x6b_chainB,0.09938649088144302
P1MCPUFP__CPUFP500K_0064__00082,pvrig_8x6b_chainB,0.10192539542913437
P1MCPUFP__CPUFP500K_0066__00083,pvrig_8x6b_chainB,0.060352008789777756
P1MCPUFP__CPUFP500K_0065__00084,pvrig_8x6b_chainB,0.07922422140836716
P1MCPUFP__CPUFP500K_0056__00085,pvrig_8x6b_chainB,0.06406904011964798
P1MCPUFP__CPUFP500K_0055__00087,pvrig_8x6b_chainB,0.05959906056523323
P1MCPUFP__CPUFP500K_0057__00087,pvrig_8x6b_chainB,0.061001528054475784
P1MCPUFP__CPUFP500K_0048__00089,pvrig_8x6b_chainB,0.15609918534755707
P1MCPUFP__CPUFP500K_0046__00098,pvrig_8x6b_chainB,0.057308804243803024
P1MCPUFP__CPUFP500K_0049__00379,pvrig_8x6b_chainB,0.06215665861964226
P1MCPUFP__CPUFP500K_0040__00092,pvrig_8x6b_chainB,0.04395139217376709
P1MCPUFP__CPUFP500K_0038__00092,pvrig_8x6b_chainB,0.04054688289761543
P1MCPUFP__CPUFP500K_0037__00093,pvrig_8x6b_chainB,0.04622421786189079
P1MCPUFP__CPUFP500K_0028__00118,pvrig_8x6b_chainB,0.13884948194026947
P1MCPUFP__CPUFP500K_0030__00124,pvrig_8x6b_chainB,0.10245335102081299
P1MCPUFP__CPUFP500K_0029__00097,pvrig_8x6b_chainB,0.07269008457660675
P1MCPUFP__CPUFP500K_0020__00097,pvrig_8x6b_chainB,0.09494028240442276
P1MCPUFP__CPUFP500K_0019__00098,pvrig_8x6b_chainB,0.16436852514743805
P1MCPUFP__CPUFP500K_0021__00100,pvrig_8x6b_chainB,0.14462408423423767
P1MCPUFP__CPUFP500K_0012__00120,pvrig_8x6b_chainB,0.0520554780960083
P1MCPUFP__CPUFP500K_0010__00101,pvrig_8x6b_chainB,0.07653193920850754
