Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0037__00001	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00004	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00005	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00007	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00011	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00010	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00204	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00303	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00030	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00034	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00067	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00019	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00023	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00024	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00025	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00026	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00027	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00028	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00097	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00031	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00043	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00048	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00038	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00039	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00041	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00116	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00663	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00825	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00089	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00355	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00055	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00153	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00056	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00051	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00052	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00054	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00054	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00055	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00056	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00057	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00058	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00059	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00060	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00066	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00261	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00064	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00064	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00065	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00085	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00069	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00070	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00071	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00085	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00073	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00074	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00219	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00055	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00081	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00019	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00148	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00773	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00092	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00255	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00094	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00083	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00087	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00088	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00089	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00091	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00091	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00093	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00103	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00390	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00096	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00096	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00097	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00123	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00128	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00102	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00104	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00128	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00105	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00107	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00315	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00238	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00117	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00217	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00220	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0197__00573	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00130	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00355	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00129	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00115	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00118	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00118	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00119	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00120	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00121	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00123	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00125	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00138	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00497	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00128	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00129	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00129	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00164	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00170	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00133	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00133	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00134	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00136	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00163	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00137	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00139	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00410	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00417	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00156	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00385	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00286	pvrig_8x6b_chainB
